"id","code","cnword"
"1","19968","一"
"2","20008","丨"
"3","20022","丶"
"4","20031","丿"
"5","20032","乀"
"6","20033","乁"
"7","20057","乙"
"8","20058","乚"
"9","20059","乛"
"10","20101","亅"
"11","19969","丁"
"12","19970","丂"
"13","19971","七"
"14","19972","丄"
"15","19973","丅"
"16","19974","丆"
"17","20009","丩"
"18","20023","丷"
"19","20034","乂"
"20","20035","乃"
"21","20036","乄"
"22","20060","乜"
"23","20061","九"
"24","20102","了"
"25","20108","二"
"26","20128","亠"
"27","20154","人"
"28","20155","亻"
"29","20799","儿"
"30","20837","入"
"31","20843","八"
"32","20866","冂"
"33","20886","冖"
"34","20907","冫"
"35","20960","几"
"36","20981","凵"
"37","20992","刀"
"38","20993","刁"
"39","20994","刂"
"40","21147","力"
"41","21241","勹"
"42","21269","匕"
"43","21274","匚"
"44","21304","匸"
"45","21313","十"
"46","21340","卜"
"47","21353","卩"
"48","21378","厂"
"49","21430","厶"
"50","21448","又"
"51","24028","巜"
"52","24308","廴"
"53","35744","讠"
"54","38429","阝"
"55","19975","万"
"56","19976","丈"
"57","19977","三"
"58","19978","上"
"59","19979","下"
"60","19980","丌"
"61","20010","个"
"62","20011","丫"
"63","20012","丬"
"64","20024","丸"
"65","20037","久"
"66","20038","乆"
"67","20039","乇"
"68","20040","么"
"69","20041","义"
"70","20042","乊"
"71","20062","乞"
"72","20063","也"
"73","20064","习"
"74","20065","乡"
"75","20103","亇"
"76","20109","亍"
"77","20110","于"
"78","20111","亏"
"79","20112","亐"
"80","20129","亡"
"81","20156","亼"
"82","20157","亽"
"83","20158","亾"
"84","20159","亿"
"85","20800","兀"
"86","20838","兦"
"87","20961","凡"
"88","20962","凢"
"89","20963","凣"
"90","20995","刃"
"91","20996","刄"
"92","21148","劜"
"93","21242","勺"
"94","21314","卂"
"95","21315","千"
"96","21316","卄"
"97","21354","卪"
"98","21355","卫"
"99","21449","叉"
"100","21475","口"
"101","22231","囗"
"102","22303","土"
"103","22763","士"
"104","22786","夂"
"105","22794","夊"
"106","22805","夕"
"107","22823","大"
"108","22899","女"
"109","23376","子"
"110","23377","孑"
"111","23378","孒"
"112","23379","孓"
"113","23424","宀"
"114","23544","寸"
"115","23567","小"
"116","23586","尢"
"117","23587","尣"
"118","23608","尸"
"119","23662","屮"
"120","23665","山"
"121","24027","巛"
"122","24029","川"
"123","24037","工"
"124","24049","己"
"125","24050","已"
"126","24051","巳"
"127","24062","巾"
"128","24178","干"
"129","24186","幺"
"130","24191","广"
"131","24318","廾"
"132","24331","弋"
"133","24339","弓"
"134","24400","彐"
"135","24401","彑"
"136","24417","彡"
"137","24435","彳"
"138","24516","忄"
"139","25165","才"
"140","27701","氵"
"141","29357","犭"
"142","32415","纟"
"143","33401","艹"
"144","36790","辶"
"145","38376","门"
"146","39134","飞"
"147","39267","饣"
"148","39532","马"
"149","19981","不"
"150","19982","与"
"151","19983","丏"
"152","19984","丐"
"153","19985","丑"
"154","19986","丒"
"155","19987","专"
"156","20013","中"
"157","20014","丮"
"158","20015","丯"
"159","20016","丰"
"160","20025","丹"
"161","20026","为"
"162","20043","之"
"163","20044","乌"
"164","20066","乢"
"165","20067","乣"
"166","20068","乤"
"167","20069","乥"
"168","20070","书"
"169","20104","予"
"170","20113","云"
"171","20114","互"
"172","20115","亓"
"173","20116","五"
"174","20117","井"
"175","20118","亖"
"176","20130","亢"
"177","20131","亣"
"178","20160","什"
"179","20161","仁"
"180","20162","仂"
"181","20163","仃"
"182","20164","仄"
"183","20165","仅"
"184","20166","仆"
"185","20167","仇"
"186","20168","仈"
"187","20169","仉"
"188","20170","今"
"189","20171","介"
"190","20172","仌"
"191","20173","仍"
"192","20174","从"
"193","20175","仏"
"194","20176","仐"
"195","20177","仑"
"196","20178","仒"
"197","20179","仓"
"198","20801","允"
"199","20802","兂"
"200","20803","元"
"201","20839","內"
"202","20844","公"
"203","20845","六"
"204","20846","兮"
"205","20847","兯"
"206","20867","冃"
"207","20868","冄"
"208","20869","内"
"209","20870","円"
"210","20871","冇"
"211","20872","冈"
"212","20887","冗"
"213","20888","冘"
"214","20964","凤"
"215","20982","凶"
"216","20997","刅"
"217","20998","分"
"218","20999","切"
"219","21000","刈"
"220","21149","劝"
"221","21150","办"
"222","21243","勻"
"223","21244","勼"
"224","21245","勽"
"225","21246","勾"
"226","21247","勿"
"227","21248","匀"
"228","21249","匁"
"229","21250","匂"
"230","21270","化"
"231","21305","匹"
"232","21306","区"
"233","21317","卅"
"234","21318","卆"
"235","21319","升"
"236","21320","午"
"237","21325","卍"
"238","21328","卐"
"239","21341","卝"
"240","21342","卞"
"241","21356","卬"
"242","21379","厃"
"243","21380","厄"
"244","21381","厅"
"245","21382","历"
"246","21431","厷"
"247","21432","厸"
"248","21433","厹"
"249","21450","及"
"250","21451","友"
"251","21452","双"
"252","21453","反"
"253","21454","収"
"254","22304","圠"
"255","22305","圡"
"256","22764","壬"
"257","22824","夨"
"258","22825","天"
"259","22826","太"
"260","22827","夫"
"261","22828","夬"
"262","22829","夭"
"263","23380","孔"
"264","23568","尐"
"265","23569","少"
"266","23588","尤"
"267","23609","尹"
"268","23610","尺"
"269","23663","屯"
"270","23666","屲"
"271","24052","巴"
"272","24063","巿"
"273","24064","帀"
"274","24065","币"
"275","24187","幻"
"276","24319","廿"
"277","24320","开"
"278","24332","弌"
"279","24340","弔"
"280","24341","引"
"281","24342","弖"
"282","24515","心"
"283","24518","忆"
"284","25096","戈"
"285","25142","戶"
"286","25143","户"
"287","25144","戸"
"288","25163","手"
"289","25164","扌"
"290","25166","扎"
"291","25903","支"
"292","25908","攴"
"293","25909","攵"
"294","25991","文"
"295","26007","斗"
"296","26020","斤"
"297","26041","方"
"298","26080","无"
"299","26081","旡"
"300","26085","日"
"301","26352","曰"
"302","26376","月"
"303","26408","木"
"304","26409","朩"
"305","27424","欠"
"306","27490","止"
"307","27513","歹"
"308","27514","歺"
"309","27571","殳"
"310","27595","毋"
"311","27596","毌"
"312","27604","比"
"313","27611","毛"
"314","27663","氏"
"315","27668","气"
"316","27700","水"
"317","28779","火"
"318","28780","灬"
"319","29226","爪"
"320","29227","爫"
"321","29238","父"
"322","29243","爻"
"323","29247","爿"
"324","29255","片"
"325","29273","牙"
"326","29275","牛"
"327","29276","牜"
"328","29356","犬"
"329","29579","王"
"330","29926","瓦"
"331","31035","礻"
"332","31160","禸"
"333","32595","罓"
"334","32770","耂"
"335","32896","肀"
"336","33402","艺"
"337","35265","见"
"338","35745","计"
"339","35746","订"
"340","35747","讣"
"341","35748","认"
"342","35749","讥"
"343","36125","贝"
"344","36710","车"
"345","36791","辷"
"346","37010","邒"
"347","37011","邓"
"348","38271","长"
"349","38377","闩"
"350","38430","阞"
"351","38431","队"
"352","38886","韦"
"353","39118","风"
"354","19988","且"
"355","19989","丕"
"356","19990","世"
"357","19991","丗"
"358","19992","丘"
"359","19993","丙"
"360","19994","业"
"361","19995","丛"
"362","19996","东"
"363","19997","丝"
"364","20017","丱"
"365","20027","主"
"366","20028","丼"
"367","20045","乍"
"368","20046","乎"
"369","20047","乏"
"370","20048","乐"
"371","20071","乧"
"372","20076","乬"
"373","20119","亗"
"374","20180","仔"
"375","20181","仕"
"376","20182","他"
"377","20183","仗"
"378","20184","付"
"379","20185","仙"
"380","20186","仚"
"381","20187","仛"
"382","20188","仜"
"383","20189","仝"
"384","20190","仞"
"385","20191","仟"
"386","20192","仠"
"387","20193","仡"
"388","20194","仢"
"389","20195","代"
"390","20196","令"
"391","20197","以"
"392","20198","仦"
"393","20199","仧"
"394","20200","仨"
"395","20201","仩"
"396","20202","仪"
"397","20203","仫"
"398","20204","们"
"399","20205","仭"
"400","20206","仮"
"401","20218","仺"
"402","20804","兄"
"403","20848","兰"
"404","20873","冉"
"405","20874","冊"
"406","20875","冋"
"407","20876","册"
"408","20878","冎"
"409","20889","写"
"410","20890","冚"
"411","20908","冬"
"412","20909","冭"
"413","20910","冮"
"414","20911","冯"
"415","20965","凥"
"416","20966","処"
"417","20967","凧"
"418","20983","凷"
"419","20984","凸"
"420","20985","凹"
"421","20986","出"
"422","20987","击"
"423","21001","刉"
"424","21002","刊"
"425","21003","刋"
"426","21004","刌"
"427","21005","刍"
"428","21151","功"
"429","21152","加"
"430","21153","务"
"431","21154","劢"
"432","21251","匃"
"433","21252","匄"
"434","21253","包"
"435","21254","匆"
"436","21255","匇"
"437","21271","北"
"438","21275","匛"
"439","21276","匜"
"440","21277","匝"
"441","21278","匞"
"442","21321","卉"
"443","21322","半"
"444","21324","卌"
"445","21343","卟"
"446","21344","占"
"447","21345","卡"
"448","21346","卢"
"449","21357","卭"
"450","21358","卮"
"451","21359","卯"
"452","21383","厇"
"453","21384","厈"
"454","21385","厉"
"455","21434","厺"
"456","21435","去"
"457","21436","厼"
"458","21455","叏"
"459","21456","叐"
"460","21457","发"
"461","21476","古"
"462","21477","句"
"463","21478","另"
"464","21479","叧"
"465","21480","叨"
"466","21481","叩"
"467","21482","只"
"468","21483","叫"
"469","21484","召"
"470","21485","叭"
"471","21486","叮"
"472","21487","可"
"473","21488","台"
"474","21489","叱"
"475","21490","史"
"476","21491","右"
"477","21492","叴"
"478","21493","叵"
"479","21494","叶"
"480","21495","号"
"481","21496","司"
"482","21497","叹"
"483","21498","叺"
"484","21499","叻"
"485","21500","叼"
"486","21501","叽"
"487","21502","叾"
"488","22233","囙"
"489","22234","囚"
"490","22235","四"
"491","22236","囜"
"492","22306","圢"
"493","22307","圣"
"494","22308","圤"
"495","22309","圥"
"496","22310","圦"
"497","22311","圧"
"498","22765","壭"
"499","22787","夃"
"500","22788","处"
"501","22806","外"
"502","22808","夘"
"503","22830","央"
"504","22831","夯"
"505","22832","夰"
"506","22833","失"
"507","22834","夲"
"508","22835","夳"
"509","22836","头"
"510","22900","奴"
"511","22901","奵"
"512","22902","奶"
"513","23381","孕"
"514","23425","宁"
"515","23426","宂"
"516","23427","它"
"517","23428","宄"
"518","23545","对"
"519","23570","尒"
"520","23571","尓"
"521","23572","尔"
"522","23573","尕"
"523","23611","尻"
"524","23612","尼"
"525","23667","屳"
"526","23668","屴"
"527","23669","屵"
"528","23670","屶"
"529","23671","屷"
"530","24038","左"
"531","24039","巧"
"532","24040","巨"
"533","24042","巪"
